id,analyzed_experiment_pk,set_voltage,set_amperage,Delta_f_Hz,Delta_f_Hz_err,Delta_kappa_Hz,Delta_kappa_Hz_err,kappa_c_Hz,kappa_c_Hz_err,f_c_Hz,f_c_Hz_err,J_Hz,J_Hz_err,a0_value,a0_err,phi_rad,phi_rad_err,nu_minus_mean_data_Hz,nu_minus_err_low_data_Hz,nu_minus_err_high_data_Hz,nu_plus_mean_data_Hz,nu_plus_err_low_data_Hz,nu_plus_err_high_data_Hz
1,1,-3,-0.009,-8698.68378829956,1274.8902999847653,18478.366677395883,1805.0787575439144,692340.6693275339,3032.3593351875666,6006232776.717227,1070.789472993939,1045000,0,3512124337588798.5,68379273104372.555,0,0,6005247975.380461,6005246601.396588,6005249366.307031,6007226294.893772,6007224898.565639,6007227691.666715
2,1,-2.99,-0.009,-14208.552561759949,1484.606951457506,-21384.106811904872,2102.273975434123,684292.2241257272,3006.0532168959403,6006226241.870834,1061.54570404672,1045000,0,3603624745241787,70575515342104.78,0,0,6005249715.493311,6005248247.579709,6005251179.985303,6007216898.203811,6007215469.662654,6007218354.994386
3,1,-2.98,-0.009,6085.869936943054,1282.5774310737188,3876.630466814968,1815.9877692722198,687476.4216957566,3006.0118528613184,6006224044.080589,1061.5142218507458,1045000,0,3544897535879213,72723381268980.81,0,0,6005233484.2938,6005232107.523317,6005234861.388889,6007208526.783561,6007207156.841022,6007209873.933844
4,1,-2.97,-0.009,-8690.539519309998,1260.861844967098,-2782.2257077821996,1785.2476149632093,684206.7644730204,3022.0608330798664,6006219492.637975,1067.2003860679847,1045000,0,3423332775066419.5,68476034541801.516,0,0,6005236900.184439,6005235519.441026,6005238290.652301,6007210778.239054,6007209387.7062435,6007212162.8938
5,1,-2.96,-0.009,-2940.4699745178223,1443.8173133051603,-33632.6764998078,2044.6857094453483,691146.0819344826,3109.1951942773085,6006232726.047923,1097.9286631286982,1045000,0,3380253880732104.5,62472793967033.18,0,0,6005254183.92065,6005252654.219378,6005255669.683144,6007214191.991407,6007212722.407454,6007215655.182448
6,1,-2.95,-0.009,-8761.785490989685,1216.474743389917,-17775.140138391056,1722.4406271387134,681542.05250317,3032.6145608717857,6006232969.1222515,1070.9390385514967,1045000,0,3503738305775434.5,70327513316077.89,0,0,6005252615.481235,6005251246.046916,6005254000.198477,6007222083.561901,6007220691.932117,6007223447.475887
7,1,-2.94,-0.009,-6297.711871147156,1271.4864487742561,-21093.521995159215,1800.301322190716,676360.5874860596,3149.1930860984717,6006225460.627553,1112.1381853145333,1045000,0,3444697797405532,68491236123818.2,0,0,6005243550.505994,6005242156.152444,6005244969.024716,6007213641.473062,6007212199.719173,6007215084.867369
8,1,-2.93,-0.009,-9028.91128730774,1398.341828560013,-59715.10175755934,1980.3535954789804,672802.9609371381,3023.6595518885956,6006226307.557541,1067.8246696666483,1045000,0,3585435510374888,71148910982550.62,0,0,6005252512.316929,6005251091.089699,6005253936.212638,6007209045.905966,6007207599.972005,6007210518.882085
9,1,-2.92,-0.009,7352.574445724487,1648.020454750364,-86209.17705689854,2334.7756586984297,677849.4869653123,3079.740163781519,6006242442.895529,1087.5992139988784,1045000,0,3443462094001893,62724497995159.95,0,0,6005267113.775052,6005265541.679381,6005268687.160314,6007210546.9514675,6007208999.031992,6007212101.128842
10,1,-2.91,-0.009,9569.064238548279,1457.2899755081608,-70059.98978655756,2064.1177372176653,684017.1013581856,3121.487092888337,6006237917.885217,1102.308576145445,1045000,0,3560143761967539.5,68046261069967.39,0,0,6005259211.684703,6005257691.161793,6005260732.9994545,6007207218.229182,6007205707.1629925,6007208703.511757
